"Parts Number","Production Status","Successor Model",Series,"Min. Category Temperature[deg.C]","Max. Category Temperature[deg.C]","Rated Voltage[Vdc]",Capacitance[μF],"Capacitance Tolerance Code","Dimensions ⌀D[mm]","Dimensions L[mm]","Dimensions T[mm]","Rated Ripple Current1[mArms]","Rated Ripple Current1(temp.)[deg.C]","Rated Ripple Current1(freq.)","Rated Ripple Current2[mArms]","Rated Ripple Current2(temp.)[deg.C]","Rated Ripple Current2(freq.)",ESR1[mOhm],ESR1(temp.)[deg.C],ESR1(freq.),ESR2[mOhm],ESR2(temp.)[deg.C],ESR2(freq.),Impedance1[Ohm],Impedance1(temp.)[deg.C],Impedance1(freq.),Impedance2[Ohm],Impedance2(temp.)[deg.C],Impedance2(freq.),"Dissipation Factor","Dissipation Factor(temp.)[deg.C]","Dissipation Factor(freq.)[Hz]","Leakage Current(1min.)[μA]","Leakage Current(2min.)[μA]","Leakage Current(3min.)[μA]","Leakage Current(5min.)[μA]","Leakage Current(temp.)[deg.C]",Endurance1(temp.)[deg.C],Endurance1[hrs.],Endurance1(load),Endurance2(temp.)[deg.C],Endurance2[hrs.],Endurance2(load),"Reference weight[g]",MOQ[pcs],"Temperature Characteristics, Case Code (inch/mm)",RoHS,AEC-Q200,URL(ja),URL(en),URL(zh),"Catalog PDF(ja)","Catalog PDF(en)","Catalog PDF(zh)"
EAVH6R3ELL471MJC5S,"In Production",,AVH,-40,85,6.3,470,M,10,12.5,,,,,,,,,,,,,,,,,,,,0.24,20,120,88.8,29.6,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL471MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL471MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL471MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL102MJ20S,"In Production",,AVH,-40,85,6.3,1000,M,10,20,,,,,,,,,,,,,,,,,,,,0.24,20,120,189,63,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL102MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL102MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL102MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL222MK25S,"In Production",,AVH,-40,85,6.3,2200,M,12.5,25,,,,,,,,,,,,,,,,,,,,0.26,20,120,415,138,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL222MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL222MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL222MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL332ML25S,"In Production",,AVH,-40,85,6.3,3300,M,16,25,,,,,,,,,,,,,,,,,,,,0.28,20,120,623,207,,,20,85,1000,DC,,,,8.6,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL332ML25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL332ML25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL332ML25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL472MLN3S,"In Production",,AVH,-40,85,6.3,4700,M,16,31.5,,,,,,,,,,,,,,,,,,,,0.3,20,120,888,296,,,20,85,1000,DC,,,,10,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL472MLN3S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL472MLN3S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL472MLN3S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL682MLP1S,"In Production",,AVH,-40,85,6.3,6800,M,16,35.5,,,,,,,,,,,,,,,,,,,,0.34,20,120,1280,428,,,20,85,1000,DC,,,,11,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL682MLP1S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL682MLP1S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL682MLP1S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL103MM40S,"In Production",,AVH,-40,85,6.3,10000,M,18,40,,,,,,,,,,,,,,,,,,,,0.42,20,120,1890,630,,,20,85,1000,DC,,,,16,250,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL103MM40S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL103MM40S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL103MM40S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH100ELL331MJC5S,"In Production",,AVH,-40,85,10,330,M,10,12.5,,,,,,,,,,,,,,,,,,,,0.2,20,120,99,33,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH100ELL331MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH100ELL331MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH100ELL331MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH100ELL471MJ16S,"In Production",,AVH,-40,85,10,470,M,10,16,,,,,,,,,,,,,,,,,,,,0.2,20,120,141,47,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH100ELL471MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH100ELL471MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH100ELL471MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH100ELL102MK20S,"In Production",,AVH,-40,85,10,1000,M,12.5,20,,,,,,,,,,,,,,,,,,,,0.2,20,120,300,100,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH100ELL102MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH100ELL102MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH100ELL102MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
